epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,2091.29,1.58805,1.45079,1.09805,0.89134,0.59524,0.73995,0.3319,1.81512,1.28925,1.18809,0.003268,0.003268,0.003268
70,2118.7,1.65005,1.45825,1.07088,0.91651,0.64286,0.78907,0.38281,1.61164,1.15607,1.12557,0.003169,0.003169,0.003169
71,2150.85,1.75605,1.51946,1.15806,0.77815,0.7381,0.77898,0.35175,1.74496,1.23105,1.16826,0.00307,0.00307,0.00307
72,2183.66,1.6514,1.40911,1.10028,0.90161,0.65473,0.78612,0.41126,1.6242,1.20293,1.12145,0.002971,0.002971,0.002971
73,2216.86,1.77525,1.51043,1.16458,0.88293,0.66667,0.76089,0.38885,1.64951,1.21025,1.1406,0.002872,0.002872,0.002872
74,2249.65,1.63538,1.42427,1.10243,0.85284,0.68993,0.77447,0.39436,1.60782,1.25738,1.12407,0.002773,0.002773,0.002773
75,2287.6,1.57425,1.43442,1.10698,0.89161,0.69048,0.78254,0.35669,1.78173,1.32156,1.15629,0.002674,0.002674,0.002674
76,2320.53,1.67411,1.42091,1.0923,0.77144,0.66667,0.69049,0.34452,1.80305,1.3136,1.19113,0.002575,0.002575,0.002575
77,2353.47,1.54625,1.45355,1.05119,0.90293,0.69048,0.77098,0.40362,1.64308,1.23238,1.14638,0.002476,0.002476,0.002476
78,2381.2,1.51197,1.28104,1.06545,0.86258,0.66667,0.76591,0.41206,1.59248,1.14764,1.11949,0.002377,0.002377,0.002377
79,2415.25,1.57921,1.28391,1.08505,0.93474,0.68222,0.79682,0.45605,1.5903,1.06415,1.10448,0.002278,0.002278,0.002278
80,2473.96,1.51853,1.31052,1.07267,0.95735,0.64286,0.80057,0.42249,1.60897,1.13625,1.12561,0.002179,0.002179,0.002179
81,2502.12,1.52871,1.22117,1.06815,0.93001,0.66667,0.80769,0.40287,1.64632,1.13196,1.1257,0.00208,0.00208,0.00208
82,2529.31,1.52617,1.25908,1.07646,0.99787,0.64286,0.80775,0.39784,1.68673,1.15677,1.1487,0.001981,0.001981,0.001981
83,2556.49,1.49946,1.1268,1.03839,0.92385,0.69048,0.82014,0.44094,1.51052,1.09382,1.11083,0.001882,0.001882,0.001882
84,2589.09,1.52496,1.21678,1.08033,0.93005,0.6333,0.79511,0.46108,1.52746,1.10351,1.09416,0.001783,0.001783,0.001783
85,2622.85,1.5055,1.19467,1.06089,0.91481,0.61905,0.77322,0.3974,1.67902,1.14713,1.11677,0.001684,0.001684,0.001684
86,2650.68,1.55462,1.23165,1.09495,0.86554,0.59524,0.77143,0.40265,1.59728,1.12876,1.10403,0.001585,0.001585,0.001585
87,2684,1.54761,1.24543,1.07604,0.91414,0.64286,0.78799,0.39876,1.59675,1.08411,1.09691,0.001486,0.001486,0.001486
88,2716.71,1.49969,1.26583,1.09554,0.83416,0.69048,0.7965,0.41668,1.59253,1.09952,1.0933,0.001387,0.001387,0.001387
89,2749.89,1.48709,1.12522,1.03706,0.96461,0.64913,0.78288,0.43638,1.54558,1.15295,1.08328,0.001288,0.001288,0.001288
90,2782.94,1.56841,1.25649,1.04437,0.85564,0.70578,0.78778,0.42557,1.50549,1.13303,1.08138,0.001189,0.001189,0.001189
91,2817.15,1.48427,1.16834,1.08262,0.89739,0.64286,0.79135,0.37324,1.71042,1.20236,1.14841,0.00109,0.00109,0.00109
92,2849.77,1.59469,1.18133,1.12863,0.89992,0.64286,0.78024,0.41359,1.6516,1.12982,1.13243,0.000991,0.000991,0.000991
93,2877.24,1.39824,1.10394,1.05517,0.96411,0.63969,0.81881,0.46962,1.50238,1.04731,1.08472,0.000892,0.000892,0.000892
94,2916.2,1.45964,1.15584,1.06335,0.90491,0.67993,0.81365,0.44162,1.50521,1.09046,1.08514,0.000793,0.000793,0.000793
95,2944.43,1.3941,1.09783,1.05593,0.90774,0.66667,0.79595,0.39283,1.60045,1.20327,1.10653,0.000694,0.000694,0.000694
96,2971.9,1.31297,1.00147,1.05327,0.85414,0.71429,0.81785,0.42707,1.55619,1.12897,1.09575,0.000595,0.000595,0.000595
97,3005.08,1.33798,0.99725,1.04342,0.93158,0.64846,0.81613,0.45942,1.50096,1.03397,1.08868,0.000496,0.000496,0.000496
98,3032.99,1.37739,1.0542,1.08648,0.90859,0.71011,0.82721,0.45326,1.49087,1.01083,1.08518,0.000397,0.000397,0.000397
99,3060.69,1.4642,1.10026,1.0979,0.91029,0.72496,0.85287,0.44948,1.51213,1.01352,1.09212,0.000298,0.000298,0.000298
100,3094.12,1.31905,0.95279,1.05344,0.88621,0.7381,0.85774,0.44417,1.51881,1.03818,1.09066,0.000199,0.000199,0.000199
